# Gold Foil
# reference foil measured at the GILDA-BM08 Bemaline ESRF.FR
# Temperature 300 K
#
# energy     Io,      It       alpha     ----
12362.609400 0.677343 0.260530 0.955460 12362.464340
12364.825270 0.677687 0.260833 0.954803 12364.610970
12367.031500 0.677067 0.260797 0.954029 12366.563640
12369.249050 0.677127 0.261027 0.953236 12368.636150
12371.454830 0.676810 0.261123 0.952398 12370.928700
12373.667750 0.678020 0.261870 0.951329 12373.477850
12375.895150 0.677867 0.262093 0.950250 12375.727620
12378.049840 0.677670 0.262257 0.949337 12377.826650
12380.274700 0.677507 0.262463 0.948308 12379.777150
12382.453080 0.676973 0.262500 0.947381 12381.855280
12384.575460 0.677253 0.262880 0.946348 12384.015370
12386.791210 0.676877 0.263057 0.945120 12386.597550
12388.967790 0.676587 0.263257 0.943931 12388.795990
12391.175710 0.677363 0.263847 0.942840 12390.926890
12393.404480 0.678040 0.264370 0.941857 12392.908920
12395.626710 0.678103 0.264740 0.940551 12394.983260
12397.839240 0.677107 0.264717 0.939169 12397.245590
12400.063150 0.676603 0.265003 0.937343 12399.780820
12403.050770 0.676595 0.265562 0.935223 12402.807220
12406.164480 0.678423 0.266817 0.933205 12405.726610
12409.204840 0.678103 0.267248 0.931123 12408.565010
12412.242540 0.678090 0.267848 0.928862 12411.718500
12415.316690 0.677530 0.268278 0.926432 12415.070820
12418.499310 0.677708 0.268933 0.924255 12418.137660
12421.592600 0.678775 0.269898 0.922247 12420.903090
12424.701280 0.678702 0.270452 0.920086 12423.947720
12427.715170 0.677543 0.270637 0.917692 12427.371920
12430.786790 0.677118 0.271002 0.915717 12430.437440
12433.974560 0.677245 0.271608 0.913675 12433.304700
12437.062170 0.677140 0.272080 0.911782 12436.252590
12440.175810 0.677635 0.272875 0.909595 12439.700260
12443.251780 0.677593 0.273332 0.907857 12442.872660
12446.363370 0.677275 0.273628 0.906310 12445.844540
12449.408530 0.677728 0.274172 0.904988 12448.584380
12452.497810 0.677602 0.274510 0.903573 12451.727140
12455.621710 0.678312 0.275285 0.901801 12455.232710
12458.765370 0.677710 0.275402 0.900486 12458.320720
12462.000220 0.677578 0.275728 0.899111 12461.265050
12465.088610 0.677790 0.276178 0.897794 12464.275400
12468.175410 0.678122 0.276730 0.896286 12467.803040
12471.292640 0.677580 0.276898 0.894880 12470.914800
12474.470250 0.677747 0.277313 0.893630 12473.879570
12477.641010 0.677952 0.277765 0.892302 12476.838190
12480.736490 0.678072 0.278228 0.890815 12480.190230
12483.891340 0.677260 0.278365 0.889122 12483.604210
12487.048940 0.677122 0.278712 0.887671 12486.648220
12490.136470 0.678350 0.279635 0.886178 12489.430170
12493.302750 0.678445 0.280168 0.884416 12492.653420
12496.513600 0.677782 0.280427 0.882511 12496.276960
12499.794820 0.678170 0.281127 0.880590 12499.501090
12502.894350 0.678265 0.281655 0.878855 12502.319200
12505.989050 0.678307 0.282225 0.876896 12505.318760
12509.141220 0.677538 0.282492 0.874813 12508.852840
12512.354170 0.677900 0.283278 0.872573 12512.131050
12515.606500 0.678353 0.284005 0.870675 12515.163820
12518.718570 0.678297 0.284555 0.868659 12518.125870
12521.815050 0.679005 0.285475 0.866474 12521.447020
12525.021920 0.678957 0.286087 0.864261 12524.889880
12528.216510 0.678395 0.286448 0.862174 12527.992140
12531.395560 0.678590 0.287067 0.860300 12530.862450
12534.501860 0.678235 0.287460 0.858410 12534.029870
12537.606540 0.677710 0.287892 0.856132 12537.540840
12540.717150 0.677793 0.288455 0.854302 12540.640680
12543.910430 0.677967 0.289085 0.852379 12543.525190
12547.118390 0.678732 0.289965 0.850467 12546.639010
12550.243700 0.679230 0.290755 0.848479 12550.108100
12553.390130 0.678272 0.290900 0.846570 12553.358530
12556.702810 0.679280 0.291832 0.844853 12556.433270
12559.826630 0.678843 0.292127 0.843199 12559.342840
12562.949920 0.679780 0.293052 0.841417 12562.628010
12566.105210 0.678658 0.293005 0.839927 12566.034960
12569.376110 0.679620 0.293928 0.838201 12569.222590
12572.621650 0.678665 0.293925 0.836803 12572.089530
12575.824410 0.679408 0.294642 0.835458 12575.296140
12578.996280 0.679540 0.295177 0.833839 12578.865880
12582.194840 0.679320 0.295482 0.832483 12582.016970
12585.452770 0.679930 0.296120 0.831225 12584.979650
12588.648250 0.679860 0.296492 0.829865 12588.056920
12591.775710 0.679602 0.296868 0.828222 12591.508400
12595.006170 0.679107 0.297148 0.826551 12594.857410
12598.188200 0.680485 0.298155 0.825192 12597.870690
12601.391560 0.680262 0.298505 0.823692 12600.797940
12604.567160 0.680035 0.298893 0.822060 12604.080490
12607.749900 0.680153 0.299535 0.820086 12607.632160
12611.097140 0.680280 0.300173 0.818147 12610.860140
12614.448430 0.680427 0.300748 0.816450 12613.856740
12617.694390 0.680655 0.301425 0.814534 12617.149810
12620.891750 0.681087 0.302322 0.812196 12620.750290
12624.137910 0.680735 0.302770 0.810200 12623.957640
12627.416500 0.680175 0.303110 0.808254 12626.928920
12630.650820 0.680187 0.303663 0.806452 12630.027210
12633.864950 0.679963 0.304252 0.804180 12633.613740
12637.216890 0.680590 0.305098 0.802329 12637.014830
12640.578380 0.680705 0.305783 0.800255 12640.179780
12643.784630 0.681320 0.306602 0.798480 12643.144580
12646.982700 0.681087 0.307095 0.796534 12646.520590
12650.249550 0.681060 0.307727 0.794436 12650.067950
