# XDI/1.0 Athena/0.9.21
# Element.edge:                  L3
# Element.symbol:                Au
# Column.1:                      energy eV
# Column.2:                      xmu
# Column.3:                      bkg
# Column.4:                      pre_edge
# Column.5:                      post_edge
# Column.6:                      der
# Column.7:                      sec
# Column.8:                      i0
# Athena.e0:                     11920.08429
# Athena.eshift:                 0
# Athena.rbkg:                   1.0
# Athena.importance:             1
# Athena.standard:               None
# Athena.bkg_kweight:            2
# Athena.edge_step:              0.9178349
# Athena.fixed_step:             no
# Athena.pre_edge_range:         -150.000 -30.000
# Athena.pre_edge_line:          4.952595 - 0.00032483 * E
# Athena.normalization_range:    150.000 1676.466
# Athena.post_edge_polynomial:   13.110132 - 0.00131986 * E + 3.25230595e-008 * E^2 + 0 * E^3
# Athena.spline_range_energy:    0.000 1776.434
# Athena.clamps:                 0 24
# Athena.spline_range_k:         0.000 21.593
# Athena.kweight:                2
# Athena.window:                 hanning
# Athena.phase_correction:       no
# Athena.k_range:                3.000 19.593
# Athena.dk:                     1
# Athena.r_range:                1 3
# Athena.dr:                     0.0
# Athena.window:                 hanning
# Athena.plot_multiplier:        1
# Athena.y_offset:               0
# ///
#------------------------
#   e         xmu        bkg        pre_edge        post_edge        der        sec        i0
  12051.974        1.8922560        1.9154066        1.0377541        1.9271817       0.95313841E-03   0.48331523E-03    1.0000000
  12053.970        1.8949350        1.9146041        1.0371057        1.9261122       0.19374069E-02   0.33328663E-03    1.0000000
  12056.020        1.9000950        1.9137917        1.0364398        1.9250138       0.23016594E-02   0.31531523E-04    1.0000000
  12057.997        1.9042030        1.9130183        1.0357978        1.9239552       0.20643736E-02  -0.10166429E-03    1.0000000
  12060.057        1.9084290        1.9122206        1.0351284        1.9228518       0.18912346E-02  -0.14722958E-03    1.0000000
  12062.117        1.9119950        1.9114308        1.0344594        1.9217493       0.14577789E-02  -0.19633978E-03    1.0000000
  12064.134        1.9143720        1.9106626        1.0338042        1.9206696       0.10908064E-02  -0.13990633E-03    1.0000000
  12066.154        1.9163990        1.9098973        1.0331480        1.9195888       0.89292386E-03  -0.13607138E-03    1.0000000
  12068.149        1.9179570        1.9091440        1.0325000        1.9185217       0.54449342E-03  -0.16291078E-03    1.0000000
  12070.185        1.9185940        1.9083760        1.0318385        1.9174326       0.23618652E-03  -0.12162960E-03    1.0000000
  12072.231        1.9189210        1.9076040        1.0311742        1.9163391       0.48059769E-04  -0.10172025E-03    1.0000000
  12074.305        1.9187920        1.9068186        1.0305003        1.9152301      -0.18288767E-03  -0.15283114E-03    1.0000000
  12076.326        1.9181720        1.9060500        1.0298439        1.9141502      -0.57784642E-03  -0.21235663E-03    1.0000000
  12078.358        1.9164500        1.9052717        1.0291837        1.9130644      -0.10435648E-02  -0.16184992E-03    1.0000000
  12080.403        1.9139170        1.9044816        1.0285194        1.9119720      -0.12377684E-02   0.13002727E-04    1.0000000
  12082.447        1.9113890        1.9036840        1.0278556        1.9108806      -0.99039917E-03   0.20106316E-03    1.0000000
  12084.494        1.9098660        1.9028773        1.0271908        1.9097881      -0.41536584E-03   0.32654501E-03    1.0000000
  12086.528        1.9096940        1.9020676        1.0265300        1.9087023       0.34214611E-03   0.31791379E-03    1.0000000
  12088.533        1.9112480        1.9012620        1.0258787        1.9076324       0.86875474E-03   0.15863605E-03    1.0000000
  12090.540        1.9131800        1.9004479        1.0252266        1.9065613       0.97869549E-03   0.10412347E-04    1.0000000
  12092.572        1.9152010        1.8996168        1.0245667        1.9054779       0.91081072E-03  -0.20245223E-03    1.0000000
  12094.616        1.9168920        1.8987732        1.0239027        1.9043879       0.15360343E-03  -0.51268092E-03    1.0000000
  12096.654        1.9158280        1.8979250        1.0232408        1.9033016      -0.11819220E-02  -0.60257330E-03    1.0000000
  12098.703        1.9120610        1.8970647        1.0225750        1.9022093      -0.23093607E-02  -0.52455728E-03    1.0000000
  12100.776        1.9063090        1.8961878        1.0219019        1.9011051      -0.33441052E-02  -0.43972267E-03    1.0000000
  12102.844        1.8982150        1.8953056        1.0212301        1.9000035      -0.41299972E-02  -0.23085366E-03    1.0000000
  12104.860        1.8894430        1.8944392        1.0205753        1.8989300      -0.42868607E-02   0.17260875E-03    1.0000000
  12106.906        1.8808010        1.8935530        1.0199106        1.8978404      -0.34288294E-02   0.52842292E-03    1.0000000
  12108.913        1.8755440        1.8926777        1.0192586        1.8967721      -0.21448614E-02   0.55647882E-03    1.0000000
  12110.958        1.8721100        1.8917795        1.0185944        1.8956838      -0.11739717E-02   0.37497643E-03    1.0000000
