# Au fcc                                                         Feff 8.40   
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=79 Rmt= 1.550 Rnm= 1.593 L3 shell
# Pot 1 Z=79 Rmt= 1.528 Rnm= 1.567
# Gam_ch=5.284E+00 H-L exch
# Mu=-4.795E-01 kf=1.866E+00 Vint=-1.374E+01 Rs_int= 1.944
# PATH  Rmax= 7.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00     12.00     2   2.8779
#           2       0.00000     24.44      6.00     2   4.0700
#           3       0.00000     11.58     48.00     3   4.3169
#           4       0.00000      5.13     48.00     3   4.9129
#           5       0.00000     56.57     24.00     2   4.9847
#           6       0.00000      9.16     48.00     3   5.3703
#           7       0.00000     23.54     96.00     3   5.3703
#           8       0.00000     18.44     12.00     2   5.7558
#           9       0.00000      7.76     12.00     3   5.7558
#          10       0.00000     74.71     24.00     3   5.7558
#          11       0.00000     12.92     12.00     4   5.7558
#          14       0.00000     79.13     12.00     4   5.7558
#          15       0.00000      6.48     48.00     4   5.7558
#          16       0.00000     26.02     24.00     2   6.4352
#          18       0.00000      6.88     48.00     3   6.6916
#          19       0.00000      8.19     48.00     3   6.6916
#          21       0.00000      6.72     96.00     4   6.8092
#          22       0.00000      4.09     96.00     4   6.8092
#    18/  22 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
    10.5500   -3.738927E-02  4.494350E-02  4.299974E+01
    10.6000   -2.476289E-02  4.329911E-02  4.337347E+01
    10.6500   -9.697355E-03  4.111487E-02  4.374419E+01
    10.7000    4.890070E-03  3.842161E-02  4.410992E+01
    10.7500    1.646006E-02  3.527325E-02  4.446779E+01
    10.8000    2.345805E-02  3.175173E-02  4.481358E+01
    10.8500    2.563111E-02  2.797518E-02  4.514081E+01
    10.9000    2.395750E-02  2.411318E-02  4.543940E+01
    10.9500    2.021282E-02  2.041505E-02  4.569397E+01
    11.0000    1.631550E-02  1.725379E-02  4.588440E+01
    11.0500    1.376460E-02  1.515100E-02  4.598422E+01
    11.1000    1.305688E-02  1.472320E-02  4.603346E+01
    11.1500    1.355608E-02  1.600176E-02  4.611327E+01
    11.2000    1.383522E-02  1.840473E-02  4.627322E+01
    11.2500    1.229321E-02  2.125184E-02  4.650706E+01
    11.3000    7.844042E-03  2.405344E-02  4.679171E+01
    11.3500    4.184439E-04  2.649782E-02  4.710810E+01
    11.4000   -8.914746E-03  2.838784E-02  4.744333E+01
    11.4500   -1.825941E-02  2.960168E-02  4.778861E+01
    11.5000   -2.552336E-02  3.007482E-02  4.813734E+01
    11.5500   -2.913398E-02  2.979420E-02  4.848377E+01
    11.6000   -2.856663E-02  2.879956E-02  4.882196E+01
    11.6500   -2.448278E-02  2.719112E-02  4.914480E+01
    11.7000   -1.842374E-02  2.514485E-02  4.944320E+01
    11.7500   -1.217944E-02  2.293708E-02  4.970571E+01
    11.8000   -7.082148E-03  2.097118E-02  4.992100E+01
    11.8500   -3.509783E-03  1.976281E-02  5.008694E+01
    11.9000   -8.055052E-04  1.978918E-02  5.022477E+01
    11.9500    2.343019E-03  2.121158E-02  5.037617E+01
    12.0000    7.208638E-03  2.377022E-02  5.057360E+01
    12.0500    1.413816E-02  2.701728E-02  5.081620E+01
    12.1000    2.267844E-02  3.048960E-02  5.110423E+01
    12.1500    3.098292E-02  3.379011E-02  5.142578E+01
    12.2000    3.653399E-02  3.661222E-02  5.177089E+01
    12.2500    3.703670E-02  3.872067E-02  5.213228E+01
    12.3000    3.134273E-02  3.993707E-02  5.250470E+01
    12.3500    2.004159E-02  4.013203E-02  5.288418E+01
    12.4000    5.459217E-03  3.922175E-02  5.326743E+01
    12.4500   -8.984696E-03  3.716707E-02  5.365123E+01
    12.5000   -1.986669E-02  3.397438E-02  5.403165E+01
    12.5500   -2.492026E-02  2.969927E-02  5.440268E+01
    12.6000   -2.384112E-02  2.445839E-02  5.475273E+01
    12.6500   -1.841919E-02  1.847251E-02  5.505387E+01
    12.7000   -1.191295E-02  1.226711E-02  5.521875E+01
    12.7500   -7.857726E-03  7.859862E-03  5.495456E+01
    12.8000   -8.717200E-03  1.015498E-02  5.443925E+01
    12.8500   -1.486390E-02  1.706281E-02  5.446457E+01
    12.9000   -2.427641E-02  2.507241E-02  5.472522E+01
    12.9500   -3.309857E-02  3.322010E-02  5.506343E+01
    13.0000   -3.690296E-02  4.110692E-02  5.543408E+01
    13.0500   -3.228162E-02  4.833530E-02  5.581733E+01
    13.1000   -1.823780E-02  5.480578E-02  5.620943E+01
